Processor information: 1 socket(s), 6 core(s), and 12 thread(s) available
GAMS 45.5.0   Copyright (C) 1987-2023 GAMS Development. All rights reserved
---   3,428 rows  3,573 columns  12,038 non-zeroes
---   4,265 nl-code  2,082 nl-non-zeroes
--- Range statistics (absolute non-zero finite values)
--- RHS       [min, max] : [ 4.561E-04, 3.000E+03] - Zero values observed as well
--- Bound     [min, max] : [ 5.000E-05, 1.927E+03] - Zero values observed as well
--- Matrix    [min, max] : [ 6.345E-06, 1.447E+07] - Zero values observed as well
--- Executing BARON (Solvelink=2): elapsed 0:00:00.268

GAMS/BARON       45.5.0 8d95ac18 Dec 14, 2023          WEI x86 64bit/MS Window

===========================================================================
 BARON version 23.6.22. Built: WIN-64 Thu Jun 22 20:11:26 EDT 2023

 BARON is a product of The Optimization Firm.
 For information on BARON, see https://minlp.com/about-baron

 If you use this software, please cite publications from
 https://minlp.com/baron-publications, such as: 

 Khajavirad, A. and N. V. Sahinidis,
 A hybrid LP/NLP paradigm for global optimization relaxations,
 Mathematical Programming Computation, 10, 383-421, 2018.
===========================================================================
 This BARON run may utilize the following subsolver(s)
 For LP/MIP/QP: CLP/CBC, ILOG CPLEX                             
 For NLP: MINOS, SNOPT, External NLP, IPOPT, FILTERSQP
===========================================================================
 Doing local search
 Solving bounding LP
 Starting multi-start local search
 Preprocessing found feasible solution with value 0.336229E+08
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
*         1             1             6.45     0.341680E+08     0.434758E+08   
          1+            1            36.67     0.341680E+08     0.434758E+08   
          1+            1            67.08     0.341680E+08     0.434758E+08   
          1+            1            97.52     0.341680E+08     0.434758E+08   
          1+            1           127.83     0.341680E+08     0.434758E+08   
          1+            1           158.05     0.341680E+08     0.418577E+08   
          1+            1           188.50     0.341680E+08     0.418577E+08   
          1+            1           218.73     0.341680E+08     0.418577E+08   
          1+            1           249.30     0.341680E+08     0.418577E+08   
          1+            1           279.45     0.341680E+08     0.418577E+08   
          1+            1           309.33     0.341680E+08     0.418577E+08   
          1+            1           339.41     0.341680E+08     0.415413E+08   
          1+            1           369.86     0.341680E+08     0.415413E+08   
          1+            1           400.05     0.341680E+08     0.415413E+08   
          1+            1           430.25     0.341680E+08     0.415413E+08   
          1+            1           460.64     0.341680E+08     0.415413E+08   
          1+            1           491.30     0.341680E+08     0.415413E+08   
          1+            1           522.84     0.341680E+08     0.414291E+08   
          1+            1           553.34     0.341680E+08     0.414291E+08   
          1+            1           583.70     0.341680E+08     0.414291E+08   
          1+            1           614.20     0.341680E+08     0.414291E+08   
          1+            1           644.31     0.341680E+08     0.414291E+08   
          1+            1           675.41     0.341680E+08     0.414291E+08   
          1+            1           706.36     0.341680E+08     0.414291E+08   
          1+            1           736.36     0.341680E+08     0.413712E+08   
          1+            1           766.91     0.341680E+08     0.413712E+08   
          1+            1           796.92     0.341680E+08     0.413712E+08   
          1+            1           826.92     0.341680E+08     0.413712E+08   
          1+            1           857.36     0.341680E+08     0.413712E+08   
          1+            1           887.44     0.341680E+08     0.413712E+08   
          1+            1           918.34     0.341680E+08     0.413712E+08   
          1+            1           948.59     0.341680E+08     0.413712E+08   
          1             1           953.61     0.341680E+08     0.413712E+08   
          2+            2           983.84     0.341680E+08     0.413712E+08   
          2+            2          1014.08     0.341680E+08     0.413712E+08   
          2+            2          1044.75     0.341680E+08     0.413712E+08   
          2+            2          1074.77     0.341680E+08     0.413712E+08   
          2+            2          1105.08     0.341680E+08     0.413712E+08   
          2+            2          1135.11     0.341680E+08     0.413712E+08   
          2+            2          1165.48     0.341680E+08     0.413712E+08   
          3+            2          1195.50     0.341680E+08     0.413712E+08   
          3+            2          1225.75     0.341680E+08     0.413712E+08   
          3+            2          1256.06     0.341680E+08     0.413712E+08   
          3+            2          1286.27     0.341680E+08     0.413712E+08   
          3+            2          1316.73     0.341680E+08     0.413712E+08   
          4+            3          1346.91     0.341680E+08     0.412480E+08   
          4+            3          1377.16     0.341680E+08     0.412480E+08   
          4+            3          1407.16     0.341680E+08     0.412480E+08   
          4+            3          1437.48     0.341680E+08     0.412480E+08   
          4+            3          1467.92     0.341680E+08     0.412480E+08   
          4+            3          1498.09     0.341680E+08     0.412480E+08   
          4+            3          1529.03     0.341680E+08     0.412480E+08   
          5+            3          1559.30     0.341680E+08     0.412480E+08   
          5+            3          1589.52     0.341680E+08     0.412480E+08   
          5+            3          1619.95     0.341680E+08     0.412480E+08   
          5+            3          1650.08     0.341680E+08     0.412480E+08   
          7+            4          1680.23     0.341680E+08     0.412480E+08   
          7+            4          1710.38     0.341680E+08     0.412480E+08   
          7+            4          1740.45     0.341680E+08     0.412480E+08   
          7+            4          1770.47     0.341680E+08     0.412480E+08   
          7+            4          1800.77     0.341680E+08     0.412480E+08   
          7+            4          1831.14     0.341680E+08     0.412480E+08   
          7+            4          1861.34     0.341680E+08     0.412480E+08   
          7+            4          1892.22     0.341680E+08     0.412480E+08   
          7+            4          1922.23     0.341680E+08     0.412480E+08   
          7+            4          1952.44     0.341680E+08     0.412480E+08   
          7+            4          1983.09     0.341680E+08     0.412480E+08   
          7+            4          2013.38     0.341680E+08     0.412480E+08   
          7+            4          2043.75     0.341680E+08     0.412480E+08   
          7+            4          2073.91     0.341680E+08     0.412480E+08   
          7+            4          2104.81     0.341680E+08     0.412480E+08   
          7+            4          2135.53     0.341680E+08     0.412480E+08   
          7+            4          2165.91     0.341680E+08     0.412480E+08   
          7+            4          2196.17     0.341680E+08     0.412480E+08   
          7+            4          2226.48     0.341680E+08     0.412480E+08   
          7+            4          2256.59     0.341680E+08     0.412480E+08   
          7+            4          2286.94     0.341680E+08     0.412480E+08   
          7+            4          2316.95     0.341680E+08     0.412480E+08   
          7+            4          2347.30     0.341680E+08     0.412480E+08   
          7+            4          2377.91     0.341680E+08     0.412480E+08   
          7+            4          2408.83     0.341680E+08     0.412480E+08   
          7+            4          2439.25     0.341680E+08     0.412480E+08   
          7+            4          2470.00     0.341680E+08     0.412480E+08   
          7+            4          2500.69     0.341680E+08     0.412480E+08   
          7+            4          2531.08     0.341680E+08     0.412480E+08   
          7+            4          2561.45     0.341680E+08     0.412480E+08   
          7+            4          2591.67     0.341680E+08     0.412480E+08   
         87            46          2621.64     0.341680E+08     0.411472E+08   
        420           192          2651.59     0.341680E+08     0.400606E+08   
        796           341          2681.59     0.341680E+08     0.387093E+08   
       1307           564          2712.05     0.341680E+08     0.384642E+08   
       1797           777          2742.03     0.341680E+08     0.383859E+08   
       2264           981          2772.03     0.341680E+08     0.383407E+08   
       2791          1211          2802.03     0.341680E+08     0.382874E+08   
       3238          1410          2832.17     0.341680E+08     0.382862E+08   
       3576          1551          2862.20     0.341680E+08     0.382851E+08   
       3958          1716          2892.27     0.341680E+08     0.382803E+08   
       4397          1909          2922.31     0.341680E+08     0.382771E+08   
       4773          2074          2952.33     0.341680E+08     0.382762E+08   
       5088          2215          2982.30     0.341680E+08     0.382757E+08   
       5471          2376          3012.31     0.341680E+08     0.382748E+08   
       5877          2551          3042.41     0.341680E+08     0.382729E+08   
       6314          2744          3072.48     0.341680E+08     0.382706E+08   
       6677          2909          3102.48     0.341680E+08     0.382700E+08   
       7030          3056          3132.52     0.341680E+08     0.382685E+08   
       7407          3224          3162.58     0.341680E+08     0.382667E+08   
       7747          3373          3192.78     0.341680E+08     0.382657E+08   
       8085          3517          3222.91     0.341680E+08     0.382651E+08   
       8292+         3607          3253.16     0.341680E+08     0.382631E+08   
       8321          3619          3283.27     0.341680E+08     0.382630E+08   
       8663          3763          3313.25     0.341680E+08     0.382626E+08   
       9061          3931          3343.25     0.341680E+08     0.382604E+08   
       9454          4103          3373.25     0.341680E+08     0.382577E+08   
       9847          4278          3403.27     0.341680E+08     0.382554E+08   
      10251          4456          3433.27     0.341680E+08     0.382536E+08   
      10647          4630          3463.33     0.341680E+08     0.382505E+08   
      11035          4793          3493.45     0.341680E+08     0.382480E+08   
      11416          4962          3523.52     0.341680E+08     0.382438E+08   
      11815          5141          3553.56     0.341680E+08     0.382422E+08   
      12234          5322          3583.61     0.341680E+08     0.382396E+08   
      12602          5475          3613.66     0.341680E+08     0.382371E+08   
      13008          5653          3643.64     0.341680E+08     0.382344E+08   
      13435          5845          3673.70     0.341680E+08     0.382321E+08   
      13817          6018          3703.73     0.341680E+08     0.382307E+08   
      14219          6205          3733.81     0.341680E+08     0.382301E+08   
      14602          6369          3763.88     0.341680E+08     0.382298E+08   
      14962          6531          3793.92     0.341680E+08     0.382295E+08   
      15331          6691          3823.92     0.341680E+08     0.382265E+08   
      15705          6854          3853.92     0.341680E+08     0.382249E+08   
      16076          7016          3883.98     0.341680E+08     0.382240E+08   
      16426          7165          3914.00     0.341680E+08     0.382228E+08   
      16812          7334          3944.00     0.341680E+08     0.382217E+08   
      17163          7478          3974.11     0.341680E+08     0.382199E+08   
      17605          7662          4004.12     0.341680E+08     0.382164E+08   
      17980          7822          4034.16     0.341680E+08     0.382125E+08   
      18421          8013          4064.16     0.341680E+08     0.382109E+08   
      18810          8188          4094.16     0.341680E+08     0.382077E+08   
      19156          8341          4124.25     0.341680E+08     0.382070E+08   
      19483          8477          4154.36     0.341680E+08     0.382049E+08   
      19844          8628          4184.36     0.341680E+08     0.382010E+08   
      20224          8795          4214.38     0.341680E+08     0.381971E+08   
      20607          8952          4244.38     0.341680E+08     0.381961E+08   
      21009          9126          4274.39     0.341680E+08     0.381941E+08   
      21395          9295          4304.38     0.341680E+08     0.381919E+08   
      21734          9442          4334.41     0.341680E+08     0.381906E+08   
      22161          9636          4364.42     0.341680E+08     0.381896E+08   
      22568          9810          4394.48     0.341680E+08     0.381887E+08   
      22967          9981          4424.50     0.341680E+08     0.381870E+08   
      23305         10125          4454.50     0.341680E+08     0.381865E+08   
      23656         10274          4484.50     0.341680E+08     0.381853E+08   
      24025         10437          4514.62     0.341680E+08     0.381842E+08   
      24382         10592          4544.67     0.341680E+08     0.381821E+08   
      24755         10750          4574.75     0.341680E+08     0.381814E+08   
      25089         10891          4604.89     0.341680E+08     0.381807E+08   
      25424         11030          4634.91     0.341680E+08     0.381800E+08   
      25720         11158          4664.95     0.341680E+08     0.381775E+08   
      25971+        11274          4695.19     0.341680E+08     0.381773E+08   
      26052+        11307          4725.52     0.341680E+08     0.381771E+08   
      26124         11338          4755.70     0.341680E+08     0.381771E+08   
      26519         11511          4785.77     0.341680E+08     0.381762E+08   
      26893         11669          4815.94     0.341680E+08     0.381755E+08   
      27247         11822          4845.95     0.341680E+08     0.381740E+08   
      27684         12013          4875.98     0.341680E+08     0.381726E+08   
      28058         12181          4906.02     0.341680E+08     0.381720E+08   
      28437         12345          4936.19     0.341680E+08     0.381712E+08   
      28800         12503          4966.25     0.341680E+08     0.381708E+08   
      29161         12655          4996.30     0.341680E+08     0.381702E+08   
      29566         12833          5026.36     0.341680E+08     0.381690E+08   
      29935         12992          5056.36     0.341680E+08     0.381676E+08   
      30321         13156          5086.41     0.341680E+08     0.381662E+08   
      30682         13307          5116.47     0.341680E+08     0.381638E+08   
      31047         13470          5146.62     0.341680E+08     0.381618E+08   
      31444         13641          5176.72     0.341680E+08     0.381602E+08   
      31796         13787          5206.78     0.341680E+08     0.381583E+08   
      32146         13938          5236.80     0.341680E+08     0.381544E+08   
      32480         14091          5266.84     0.341680E+08     0.381527E+08   
      32746+        14209          5296.92     0.341680E+08     0.381518E+08   
      32839+        14250          5327.16     0.341680E+08     0.381517E+08   
      32850+        14254          5357.56     0.341680E+08     0.381515E+08   
      32882         14267          5387.62     0.341680E+08     0.381515E+08   
      33249         14430          5417.77     0.341680E+08     0.381496E+08   
      33615         14579          5447.77     0.341680E+08     0.381471E+08   
      33937         14710          5477.75     0.341680E+08     0.381463E+08   
      34116+        14790          5507.94     0.341680E+08     0.381451E+08   
      34157+        14808          5538.00     0.341680E+08     0.381451E+08   
      34430         14929          5568.00     0.341680E+08     0.381443E+08   
      34831         15111          5598.02     0.341680E+08     0.381437E+08   
      35200         15269          5628.09     0.341680E+08     0.381421E+08   
      35590         15438          5658.20     0.341680E+08     0.381403E+08   
      35932         15584          5688.42     0.341680E+08     0.381397E+08   
      36293         15743          5718.50     0.341680E+08     0.381392E+08   
      36674         15910          5748.52     0.341680E+08     0.381381E+08   
      37053         16072          5778.33     0.341680E+08     0.381375E+08   
      37430         16240          5808.38     0.341680E+08     0.381369E+08   
      37818         16408          5838.44     0.341680E+08     0.381362E+08   
      38220         16573          5868.44     0.341680E+08     0.381361E+08   
      38587         16731          5898.44     0.341680E+08     0.381354E+08   
      38894         16865          5928.48     0.341680E+08     0.381348E+08   
      39149         16978          5958.52     0.341680E+08     0.381342E+08   
      39279         17038          5988.52     0.341680E+08     0.381340E+08   
      39302+        17048          6018.64     0.341680E+08     0.381340E+08   
      39317         17051          6048.72     0.341680E+08     0.381340E+08   
      39341         17060          6078.83     0.341680E+08     0.381340E+08   
      39666         17206          6108.83     0.341680E+08     0.381330E+08   
      40041         17368          6138.86     0.341680E+08     0.381324E+08   
      40400         17526          6168.94     0.341680E+08     0.381320E+08   
      40774         17685          6198.95     0.341680E+08     0.381312E+08   
      41156         17853          6228.98     0.341680E+08     0.381304E+08   
      41549         18027          6258.98     0.341680E+08     0.381288E+08   
      41914         18191          6288.52     0.341680E+08     0.381283E+08   
      42290         18352          6318.52     0.341680E+08     0.381277E+08   
      42671         18518          6348.56     0.341680E+08     0.381256E+08   
      43039         18676          6378.67     0.341680E+08     0.381246E+08   
      43420         18844          6408.66     0.341680E+08     0.381237E+08   
      43767         18989          6438.66     0.341680E+08     0.381233E+08   
      44098         19132          6468.66     0.341680E+08     0.381230E+08   
      44421         19266          6498.70     0.341680E+08     0.381227E+08   
      44762         19415          6528.73     0.341680E+08     0.381221E+08   
      45121         19567          6558.86     0.341680E+08     0.381210E+08   
      45468         19714          6588.88     0.341680E+08     0.381195E+08   
      45846         19875          6618.91     0.341680E+08     0.381186E+08   
      46214         20035          6649.00     0.341680E+08     0.381171E+08   
      46559         20185          6679.02     0.341680E+08     0.381160E+08   
      46952         20354          6709.03     0.341680E+08     0.381152E+08   
      47322         20506          6739.11     0.341680E+08     0.381145E+08   
      47735         20687          6769.11     0.341680E+08     0.381137E+08   
      48100         20844          6799.12     0.341680E+08     0.381127E+08   
      48437         20984          6829.09     0.341680E+08     0.381115E+08   
      48665+        21080          6859.45     0.341680E+08     0.381103E+08   
      48703         21091          6889.58     0.341680E+08     0.381101E+08   
      49040         21227          6919.58     0.341680E+08     0.381083E+08   
      49378         21363          6949.67     0.341680E+08     0.381075E+08   
      49758         21511          6979.69     0.341680E+08     0.381063E+08   
      50149         21672          7009.67     0.341680E+08     0.381044E+08   
      50525         21835          7039.69     0.341680E+08     0.381032E+08   
      50936         22013          7069.75     0.341680E+08     0.381025E+08   
      51329         22185          7099.75     0.341680E+08     0.381015E+08   
      51712         22352          7129.78     0.341680E+08     0.381001E+08   
      52089         22513          7159.80     0.341680E+08     0.380990E+08   
      52501         22686          7189.83     0.341680E+08     0.380979E+08   
      52873         22853          7219.86     0.341680E+08     0.380964E+08   
      53223         23001          7249.92     0.341680E+08     0.380944E+08   
      53572         23142          7279.94     0.341680E+08     0.380931E+08   
      53957         23305          7310.00     0.341680E+08     0.380926E+08   
      54299         23443          7340.00     0.341680E+08     0.380912E+08   
      54682         23602          7370.25     0.341680E+08     0.380896E+08   
      55071         23769          7400.31     0.341680E+08     0.380887E+08   
      55430         23921          7431.28     0.341680E+08     0.380874E+08   
      55798         24076          7461.31     0.341680E+08     0.380865E+08   
      56091         24191          7491.34     0.341680E+08     0.380856E+08   
      56169+        24228          7521.47     0.341680E+08     0.380853E+08   
      56276         24273          7551.47     0.341680E+08     0.380850E+08   
      56655         24441          7581.52     0.341680E+08     0.380842E+08   
      57038         24599          7611.50     0.341680E+08     0.380835E+08   
      57406         24758          7641.59     0.341680E+08     0.380827E+08   
      57758         24904          7671.58     0.341680E+08     0.380822E+08   
      58086         25044          7701.61     0.341680E+08     0.380818E+08   
      58462         25203          7731.69     0.341680E+08     0.380812E+08   
      58841         25354          7761.69     0.341680E+08     0.380805E+08   
      59251         25532          7791.73     0.341680E+08     0.380798E+08   
      59590         25680          7821.78     0.341680E+08     0.380787E+08   
      59945         25829          7852.02     0.341680E+08     0.380781E+08   
      60325         25993          7882.09     0.341680E+08     0.380773E+08   
      60683         26151          7912.09     0.341680E+08     0.380759E+08   
      61054         26309          7942.08     0.341680E+08     0.380751E+08   
      61411         26459          7972.31     0.341680E+08     0.380734E+08   
      61761         26611          8002.34     0.341680E+08     0.380721E+08   
      62106         26742          8032.33     0.341680E+08     0.380711E+08   
      62466         26894          8062.41     0.341680E+08     0.380704E+08   
      62862         27064          8092.41     0.341680E+08     0.380695E+08   
      63209         27212          8122.47     0.341680E+08     0.380677E+08   
      63546         27356          8152.50     0.341680E+08     0.380673E+08   
      63874         27493          8182.50     0.341680E+08     0.380660E+08   
      64247         27645          8212.59     0.341680E+08     0.380656E+08   
      64634         27811          8242.61     0.341680E+08     0.380645E+08   
      64978         27959          8272.67     0.341680E+08     0.380638E+08   
      65315         28105          8302.75     0.341680E+08     0.380631E+08   
      65528+        28196          8332.84     0.341680E+08     0.380624E+08   
      65567         28210          8363.23     0.341680E+08     0.380624E+08   
      65665         28256          8393.25     0.341680E+08     0.380620E+08   
      66018         28403          8423.38     0.341680E+08     0.380614E+08   
      66372         28565          8453.39     0.341680E+08     0.380599E+08   
      66751         28731          8483.39     0.341680E+08     0.380593E+08   
      67075         28863          8513.38     0.341680E+08     0.380587E+08   
      67397         28997          8543.44     0.341680E+08     0.380573E+08   
      67751         29143          8573.44     0.341680E+08     0.380553E+08   
      68113         29293          8603.44     0.341680E+08     0.380546E+08   
      68452         29441          8633.52     0.341680E+08     0.380535E+08   
      68813         29595          8663.53     0.341680E+08     0.380525E+08   
      69147         29741          8693.05     0.341680E+08     0.380521E+08   
      69505         29894          8723.06     0.341680E+08     0.380514E+08   
      69877         30056          8753.33     0.341680E+08     0.380509E+08   
      70240         30208          8783.34     0.341680E+08     0.380502E+08   
      70506         30326          8813.34     0.341680E+08     0.380492E+08   
      70622+        30378          8843.58     0.341680E+08     0.380490E+08   
      70727         30423          8873.66     0.341680E+08     0.380482E+08   
      70745+        30431          8903.88     0.341680E+08     0.380481E+08   
      70914         30514          8933.89     0.341680E+08     0.380477E+08   
      71281         30672          8963.94     0.341680E+08     0.380471E+08   
      71700         30860          8993.94     0.341680E+08     0.380459E+08   
      72052         31006          9024.09     0.341680E+08     0.380446E+08   
      72418         31161          9054.23     0.341680E+08     0.380436E+08   
      72791         31318          9084.25     0.341680E+08     0.380416E+08   
      73155         31469          9114.23     0.341680E+08     0.380399E+08   
      73528         31623          9144.41     0.341680E+08     0.380386E+08   
      73878         31772          9174.41     0.341680E+08     0.380382E+08   
      74247         31935          9204.58     0.341680E+08     0.380364E+08   
      74599         32083          9234.66     0.341680E+08     0.380356E+08   
      74973         32239          9264.72     0.341680E+08     0.380349E+08   
      75325         32388          9294.75     0.341680E+08     0.380342E+08   
      75662         32528          9324.80     0.341680E+08     0.380334E+08   
      76027         32684          9354.81     0.341680E+08     0.380325E+08   
      76362         32830          9384.80     0.341680E+08     0.380316E+08   
      76717         32977          9414.94     0.341680E+08     0.380306E+08   
      76989+        33089          9445.31     0.341680E+08     0.380294E+08   
      77091+        33129          9475.56     0.341680E+08     0.380292E+08   
      77373         33255          9505.59     0.341680E+08     0.380281E+08   
      77715         33398          9535.62     0.341680E+08     0.380275E+08   
      78082         33555          9565.67     0.341680E+08     0.380268E+08   
      78488         33739          9595.80     0.341680E+08     0.380264E+08   
      78866         33908          9625.81     0.341680E+08     0.380259E+08   
      79241         34075          9655.86     0.341680E+08     0.380259E+08   
      79565         34219          9685.95     0.341680E+08     0.380251E+08   
      79898         34360          9716.02     0.341680E+08     0.380240E+08   
      80236         34498          9746.02     0.341680E+08     0.380228E+08   
      80617         34663          9776.03     0.341680E+08     0.380224E+08   
      81003         34830          9806.12     0.341680E+08     0.380220E+08   
      81353         34978          9836.20     0.341680E+08     0.380216E+08   
      81748         35153          9866.28     0.341680E+08     0.380212E+08   
      82118         35309          9896.31     0.341680E+08     0.380208E+08   
      82506         35474          9926.53     0.341680E+08     0.380204E+08   
      82823         35600          9956.52     0.341680E+08     0.380192E+08   
      83153         35754          9986.52     0.341680E+08     0.380189E+08   
      83459         35890         10016.64     0.341680E+08     0.380187E+08   
      83593+        35947         10046.89     0.341680E+08     0.380186E+08   
      83617         35957         10076.89     0.341680E+08     0.380186E+08   
      84010         36137         10106.91     0.341680E+08     0.380182E+08   
      84375         36297         10136.97     0.341680E+08     0.380174E+08   
      84755         36465         10167.00     0.341680E+08     0.380165E+08   
      85101         36616         10196.98     0.341680E+08     0.380161E+08   
      85492         36793         10226.98     0.341680E+08     0.380158E+08   
      85899         36980         10257.03     0.341680E+08     0.380155E+08   
      86279         37145         10287.11     0.341680E+08     0.380150E+08   
      86620         37295         10317.17     0.341680E+08     0.380148E+08   
      87011         37468         10347.27     0.341680E+08     0.380143E+08   
      87348         37614         10377.28     0.341680E+08     0.380133E+08   
      87678         37754         10407.36     0.341680E+08     0.380127E+08   
      88010         37888         10437.52     0.341680E+08     0.380124E+08   
      88379         38056         10467.58     0.341680E+08     0.380120E+08   
      88666         38176         10497.62     0.341680E+08     0.380113E+08   
      88847         38246         10528.08     0.341680E+08     0.380112E+08   
      88948+        38288         10558.31     0.341680E+08     0.380111E+08   
      89216         38406         10588.34     0.341680E+08     0.380107E+08   
      89569         38555         10618.48     0.341680E+08     0.380100E+08   
      89908         38695         10648.64     0.341680E+08     0.380094E+08   
